PT101,FT101,TT101,Fault_Code
0.9,102.16,30.71,0
1.0,110.85,25.77,0
0.99,110.59,29.23,0
1.08,118.59,26.63,0
1.08,107.48,28.64,0
1.07,102.92,28.65,0
1.08,113.96,26.58,0
1.04,101.29,25.33,0
0.97,106.85,25.51,0
0.96,102.8,26.83,0
1.05,105.25,30.77,0
1.04,105.33,31.42,0
1.08,106.13,27.85,0
1.1,101.93,28.14,0
0.99,100.48,30.98,0
0.94,108.46,25.61,0
0.98,105.28,25.3,0
1.08,101.86,28.84,0
1.06,113.27,27.22,0
1.08,111.56,27.64,0
1.08,108.86,26.93,0
0.92,110.74,27.83,0
0.91,111.48,25.75,0
1.03,113.61,28.4,0
0.92,102.19,28.84,0
0.92,105.18,31.47,0
0.96,107.72,28.8,0
1.08,104.89,27.17,0
1.03,108.44,29.77,0
0.92,100.76,29.99,0
0.93,104.44,27.19,0
0.97,100.01,29.51,0
1.09,111.2,28.7,0
0.97,108.81,31.3,0
0.99,112.73,28.27,0
0.98,111.67,27.81,0
0.94,110.93,28.26,0
1.06,108.11,31.54,0
0.91,117.59,30.44,0
0.92,110.39,28.06,0
0.99,106.22,27.7,0
1.07,104.74,31.59,0
1.08,108.95,28.77,0
0.96,115.92,29.49,0
0.95,115.75,29.65,0
0.99,100.26,29.19,0
1.07,106.96,25.51,0
0.9,117.19,25.09,0
0.92,109.37,29.65,0
0.91,107.57,26.7,0
0.95,102.6,28.35,0
1.05,100.05,26.29,0
1.01,105.13,26.54,0
0.99,113.95,30.7,0
1.0,111.2,25.33,0
1.03,118.04,29.78,0
1.02,102.23,25.64,0
0.99,119.76,30.95,0
0.95,113.5,29.23,0
1.09,113.69,31.75,0
1.01,106.71,26.97,0
1.0,112.77,26.06,0
0.95,102.6,26.79,0
1.02,118.25,31.04,0
1.04,116.54,25.34,0
0.97,116.15,28.14,0
1.01,119.43,31.7,0
0.95,106.64,28.72,0
0.99,111.36,27.87,0
1.09,112.12,26.11,0
0.96,111.74,29.05,0
0.95,119.1,30.75,0
0.9,103.81,31.78,0
0.94,112.79,29.26,0
0.97,118.61,27.81,0
0.96,107.85,30.34,0
1.09,115.95,26.75,0
1.03,118.57,29.6,0
1.02,100.53,26.19,0
1.08,104.28,26.26,0
0.91,119.77,26.44,0
1.0,110.16,28.78,0
1.04,113.38,26.68,0
0.93,102.15,28.2,0
1.0,103.93,31.99,0
0.95,110.61,31.28,0
1.07,114.19,30.06,0
1.02,109.72,25.26,0
0.97,103.69,25.69,0
1.02,117.04,26.94,0
0.95,106.9,25.29,0
1.08,105.31,27.11,0
1.01,108.15,26.87,0
1.02,108.26,30.49,0
1.04,101.35,29.92,0
1.02,112.1,30.53,0
1.04,114.96,29.11,0
0.94,105.71,25.27,0
0.92,114.17,25.19,0
1.07,105.12,31.97,0
1.08,114.64,25.77,0
0.91,108.12,27.89,0
1.09,111.53,29.82,0
1.07,112.25,27.13,0
0.99,100.62,29.39,0
1.09,110.49,26.17,0
1.01,101.32,27.78,0
1.01,116.96,30.08,0
0.95,115.64,29.49,0
0.92,117.36,29.69,0
1.02,104.33,27.47,0
0.95,115.13,30.16,0
1.07,102.82,29.65,0
0.99,105.61,26.2,0
0.91,118.27,29.28,0
0.95,116.91,29.05,0
0.91,118.58,31.89,0
0.93,102.94,31.25,0
1.06,111.24,29.44,0
0.95,106.61,31.18,0
0.96,102.41,28.35,0
0.96,102.6,27.96,0
0.93,114.55,29.27,0
0.93,103.92,27.6,0
1.09,112.72,31.12,0
0.95,116.03,27.44,0
1.0,115.64,27.74,0
1.0,111.89,31.83,0
0.91,108.34,25.56,0
1.01,104.11,28.94,0
1.01,107.22,31.74,0
0.96,113.27,27.23,0
1.04,109.31,29.39,0
1.02,109.0,29.14,0
1.08,109.63,31.73,0
0.98,118.43,28.5,0
0.95,109.36,27.63,0
1.02,118.93,29.25,0
1.0,104.91,29.55,0
1.02,107.48,28.25,0
0.95,108.42,28.63,0
1.04,115.77,27.94,0
1.05,105.62,28.29,0
0.95,116.69,29.14,0
0.99,104.65,27.98,0
1.08,119.4,31.95,0
0.93,110.27,27.09,0
1.05,116.66,30.97,0
1.05,110.59,29.96,0
0.97,114.43,29.7,0
1.03,104.73,27.19,0
1.07,118.95,30.88,0
1.01,100.99,27.79,0
0.92,112.68,25.03,0
0.94,111.17,27.75,0
1.03,106.33,28.4,0
0.96,105.3,25.25,0
1.0,104.11,31.52,0
1.09,101.14,30.91,0
0.95,100.09,26.55,0
1.05,100.96,25.65,0
1.06,101.34,25.51,0
1.03,114.47,25.18,0
0.96,108.89,26.36,0
0.93,101.33,30.43,0
1.04,100.52,28.55,0
1.08,101.49,29.04,0
1.09,116.99,26.1,0
1.09,116.53,27.17,0
0.98,119.59,29.4,0
0.95,119.87,28.7,0
0.95,111.5,31.78,0
1.04,109.27,28.79,0
0.93,117.51,27.18,0
